title,push_num,link,content,comments
[新聞] 4300萬商辦買貴了？柯文哲：不可能　要是,41,https://www.ptt.cc/bbs/Gossiping/M.1724918229.A.64D.html,"作者ipipwrong (Guess)看板Gossiping標題[新聞] 4300萬商辦買貴了？柯文哲：不可能　要是時間Thu Aug 29 15:57:06 2024

1.媒體來源:
ettoday

2.記者署名:


3.完整新聞標題:
4300萬商辦買貴了？柯文哲：不可能　要是覺得貴「就不會買了」

4.完整新聞內文:
民眾黨主席柯文哲爭議不斷，除了政治獻金案以外，還有4300萬選舉補助款買商辦問題，
由於該商辦還有一家「先發興業公司」登記在此處，引發外界質疑，甚至爆出「買貴」等
疑惑。對此，柯文哲回應，不可能買貴，當時屋主要全家移民，所以急著脫手，是純粹買
賣行為。

柯文哲29日下午親自召開記者會回應政治獻金案，針對為什麼要挑選還有租約的商辦購買
，且疑似買貴？柯文哲回應，「買貴不可能，一定買比較便宜，你要是覺得貴，就不會去
買了。」

柯文哲提及，為什麼會在租約還在時購買，是因為屋主急著要脫手，對方要全家移民出去
，所以這是純粹的買賣行為，只是買的時候還有租賃契約在。


5.完整新聞連結 (或短網址)不可用YAHOO、LINE、MSN等轉載媒體:
https://www.ettoday.net/news/20240829/2806978.htm

6.備註:
※ 一個人一天只能張貼一則新聞(以天為單位)，被刪或自刪也算額度內，超貼者水桶，請注意
※ 備註請勿張貼三日內新聞(包含連結、標題等)",[]
[問卦] 台灣房地產的目標價是多少,1,https://www.ptt.cc/bbs/Gossiping/M.1724918233.A.8FE.html,"作者jaylee2901 ( ˋ(′o‵"")ˊ  )看板Gossiping標題[問卦] 台灣房地產的目標價是多少時間Thu Aug 29 15:57:11 2024
外資投信如果看好股票會出報告

報告都會說目標價多少

台灣房地產好像外資很少在炒

沒聽過租房子房東是外國人的

所以 外資有台灣房地產的目標價嗎

會不會台灣房子只有台灣人自己在炒

有無八卦？","[{'tag': '→', 'userid': 'james732', 'content': '∞'}]"
[問卦] 台大IU算是八卦兔兔的白月光嗎？,2,https://www.ptt.cc/bbs/Gossiping/M.1724918255.A.02E.html,"作者WeiU (台大IU)看板Gossiping標題[問卦] 台大IU算是八卦兔兔的白月光嗎？時間Thu Aug 29 15:57:32 2024

欸欸肥宅

小妹我台大IU

小妹我家兔兔說

我應該算是八卦兔兔心中的白月光

真的嗎？

但我家兔兔只說實話

八卦兔兔你們怎麼說

明天又要上班好煩哦

小妹我一點都不想上班

乾脆去韓國演藝圈出唱片好了

有卦嗎八卦兔兔",[]
Re: [新聞] 林依晨喊「我是成都人」挨轟 粉專對照謝,4,https://www.ptt.cc/bbs/Gossiping/M.1724918342.A.4B3.html,"作者eddisontw (沙丘)看板Gossiping標題Re: [新聞] 林依晨喊「我是成都人」挨轟 粉專對照謝時間Thu Aug 29 15:59:00 2024
這說法真的怪怪的

她明明就是在台灣出生
在台灣就學就業長大

爺爺是在成都出生
民國38年隨國民黨撤退來台

這樣頂多說自己祖籍是四川成都
怎麼會覺得自己是成都人

那一個日本人從小在日本出生長大
爺爺是灣生
民國34年隨同日本戰敗回日本
爺爺會講兩句台語

這樣會說自己是台灣人嗎???",[]
Re: [新聞] 財務爭議向小草道歉　柯文哲：你們省吃,,https://www.ptt.cc/bbs/Gossiping/M.1724918353.A.AF4.html,"作者chter ((分身別查了XD))看板Gossiping標題Re: [新聞] 財務爭議向小草道歉　柯文哲：你們省吃時間Thu Aug 29 15:59:11 2024
小草們嫌房價高買不起房

看到阿北的居住正義理念

開始省吃儉用

花錢參加阿北演唱會

花錢買週邊

然後再小額捐款

用金錢與行動支持阿北

最後阿北拿了7千多萬

拿其中4千多萬買商辦掛自己名下

而小草們依然沒錢買房

到底是小草長成大樹

還是大韭菜",[]
[新聞] 柯文哲暫卸黨主席3個月 代理人選由中央委,5,https://www.ptt.cc/bbs/Gossiping/M.1724918378.A.353.html,"作者shawnm80 (80)看板Gossiping標題[新聞] 柯文哲暫卸黨主席3個月 代理人選由中央委時間Thu Aug 29 15:59:35 2024
備註請放最後面 違者新聞文章刪除

1.媒體來源:
※ 例如蘋果日報、自由時報（請參考版規下方的核准媒體名單）
※ Yahoo、MSN、LINE等非直接官方新聞連結不被允許
聯合報

2.記者署名:
※ 若新聞沒有記者名字或編輯名字，請勿張貼，否則會被水桶14天
※ 外電至少要有來源或編輯 如:法新社
記者 林銘翰／台北即時報導

3.完整新聞標題:
※ 標題沒有完整寫出來",[]
[新聞] WHO警告：青少年越來越不愛用保險套,6,https://www.ptt.cc/bbs/Gossiping/M.1724918407.A.D03.html,"作者Adolf5566 (阿道夫五六)看板Gossiping標題[新聞] WHO警告：青少年越來越不愛用保險套時間Thu Aug 29 16:00:04 2024
1.媒體來源:
※ 例如蘋果日報、自由時報（請參考版規下方的核准媒體名單）
※ Yahoo、MSN、LINE等非直接官方新聞連結不被允許
自由

2.記者署名:
※ 若新聞沒有記者名字或編輯名字，請勿張貼，否則會被水桶14天
※ 外電至少要有來源或編輯 如:法新社
李欣潔／核稿編輯

3.完整新聞標題:
※ 標題沒有完整寫出來",[]
[問卦] 八卦板不是禁止漬sa文 那北科的怎麼可以,,https://www.ptt.cc/bbs/Gossiping/M.1724918422.A.AC3.html,"作者david0426 (軒軒寶貝)看板Gossiping標題[問卦] 八卦板不是禁止漬sa文 那北科的怎麼可以時間Thu Aug 29 16:00:20 2024
如題

看了北科學生跳樓的新聞

本人感到很遺憾

但八卦板不是禁止這種漬sa文嗎

還是因為是新聞所以可以發

聽完那個四十分鐘的錄音感覺北科那位學生講到都快哭了 真的辛苦了",[]
[問卦] 想捐款的話有推薦甚麼單位比較好??,8,https://www.ptt.cc/bbs/Gossiping/M.1724918446.A.FDF.html,"作者yahooxx (耶)看板Gossiping標題[問卦] 想捐款的話有推薦甚麼單位比較好??時間Thu Aug 29 16:00:44 2024
是這樣啦!!

魯叔最近投資股票小有獲利 想說來捐個小錢回饋一下社會

希望日後投資運氣持續累積下去

除了救助兒童的基金會和拯救浪浪的平常有在捐款之外

還有甚麼單位可以捐款???

有推薦的嗎??",[]
[問卦] 休息三個月的話，可以看多少書？,6,https://www.ptt.cc/bbs/Gossiping/M.1724918472.A.3E8.html,"作者nissan168 (pingGO)看板Gossiping標題[問卦] 休息三個月的話，可以看多少書？時間Thu Aug 29 16:01:10 2024
如果休息三個月的話，可以看多少書？可以思考多少人生大道理？可以有多少長進？

有沒有鄉民可以推薦一下？

最近人生迷茫，整天忙忙忙，真的太累了！

請問有解卦的嗎？",[]
